,Filename,ContaminationFraction,NumLearners,NumObservationsPerLearner,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
211,PizzaCutter1,0.2,100,auto,0,0.2381682109764789,0.022573578436041512,0.8904577644430969
212,PizzaCutter1,0.25,100,auto,0,0.2237595825851164,0.029358463211308475,0.8202301607173906
213,PizzaCutter1,LOF,100,auto,0,0.0625,0.0,0.8948652827094374
214,PizzaCutter1,IF,100,auto,0,0.28372234935164,0.030303030303030134,0.9039811498679795
215,PizzaCutter1,0,1,auto,0,0.0,0.0,1.0
216,PizzaCutter1,0,2,auto,0,0.0,0.0,1.0
217,PizzaCutter1,0,4,auto,0,0.0,0.0,1.0
218,PizzaCutter1,0,8,auto,0,0.0,0.0,1.0
219,PizzaCutter1,0,16,auto,0,0.0,0.0,1.0
220,PizzaCutter1,0,32,auto,0,0.0,0.0,1.0
221,PizzaCutter1,0,64,auto,0,0.0,0.0,1.0
222,PizzaCutter1,0,128,auto,0,0.0,0.0,1.0
223,PizzaCutter1,0,256,auto,0,0.0,0.0,1.0
224,PizzaCutter1,0,512,auto,0,0.0,0.0,1.0
225,PizzaCutter1,0,100,0.05,0,0.0,0.0,1.0
226,PizzaCutter1,0,100,0.1,0,0.0,0.0,1.0
227,PizzaCutter1,0,100,0.2,0,0.0,0.0,1.0
228,PizzaCutter1,0,100,0.5,0,0.0,0.0,1.0
229,PizzaCutter1,0,100,1,0,0.0,0.0,1.0
230,PizzaCutter3,0,100,auto,0,0.0,0.0,1.0
231,PizzaCutter3,0.05,100,auto,0,0.10949720670391061,0.03896103896103898,0.9162537082432666
232,PizzaCutter3,0.1,100,auto,0,0.20624129493694712,0.03664921465968584,0.9021275987979346
233,PizzaCutter3,0.15,100,auto,0,0.26731824674836474,0.03955763504891538,0.8982327318656104
234,PizzaCutter3,0.2,100,auto,0,0.3064889836531627,0.02663993538337278,0.8627425568926155
235,PizzaCutter3,0.25,100,auto,0,0.3190432623646537,0.02503501125080644,0.8348866646292288
236,PizzaCutter3,LOF,100,auto,0,0.014194528875379869,0.0,0.8862118496716964
237,PizzaCutter3,IF,100,auto,0,0.18615242859023295,0.02681118083285794,0.9114362717405068
238,PizzaCutter3,0,1,auto,0,0.0,0.0,1.0
239,PizzaCutter3,0,2,auto,0,0.0,0.0,1.0
240,PizzaCutter3,0,4,auto,0,0.0,0.0,1.0
241,PizzaCutter3,0,8,auto,0,0.0,0.0,1.0
242,PizzaCutter3,0,16,auto,0,0.0,0.0,1.0
243,PizzaCutter3,0,32,auto,0,0.0,0.0,1.0
244,PizzaCutter3,0,64,auto,0,0.0,0.0,1.0
245,PizzaCutter3,0,128,auto,0,0.0,0.0,1.0
246,PizzaCutter3,0,256,auto,0,0.0,0.0,1.0
247,PizzaCutter3,0,512,auto,0,0.0,0.0,1.0
248,PizzaCutter3,0,100,0.05,0,0.0,0.0,1.0
249,PizzaCutter3,0,100,0.1,0,0.0,0.0,1.0
250,PizzaCutter3,0,100,0.2,0,0.0,0.0,1.0
251,PizzaCutter3,0,100,0.5,0,0.0,0.0,1.0
252,PizzaCutter3,0,100,1,0,0.0,0.0,1.0
253,analcatdata_apnea1,0,100,auto,0,0.0,0.0,1.0
254,analcatdata_apnea1,0.05,100,auto,0,0.10886178861788616,0.12445779112445784,0.6317631731419531
255,analcatdata_apnea1,0.1,100,auto,0,0.15756317064728273,0.058823529411764636,0.8457070736912097
256,analcatdata_apnea1,0.15,100,auto,0,0.19271339347675226,0.06885828520657492,0.7202721675079066
257,analcatdata_apnea1,0.2,100,auto,0,0.21531350370060043,0.0843265088832819,0.72233861069608
258,analcatdata_apnea1,0.25,100,auto,0,0.23014023636064235,0.049744547457813905,0.72149966461088
259,analcatdata_apnea1,LOF,100,auto,0,0.0,0.0,1.0
260,analcatdata_apnea1,IF,100,auto,0,0.1013956507627393,0.18880000000000022,0.627037627246595
261,analcatdata_apnea1,0,1,auto,0,0.0,0.0,1.0
262,analcatdata_apnea1,0,2,auto,0,0.0,0.0,1.0
263,analcatdata_apnea1,0,4,auto,0,0.0,0.0,1.0
264,analcatdata_apnea1,0,8,auto,0,0.0,0.0,1.0
265,analcatdata_apnea1,0,16,auto,0,0.0,0.0,1.0
266,analcatdata_apnea1,0,32,auto,0,0.0,0.0,1.0
267,analcatdata_apnea1,0,64,auto,0,0.0,0.0,1.0
268,analcatdata_apnea1,0,128,auto,0,0.0,0.0,1.0
269,analcatdata_apnea1,0,256,auto,0,0.0,0.0,1.0
270,analcatdata_apnea1,0,512,auto,0,0.0,0.0,1.0
271,analcatdata_apnea1,0,100,0.05,0,0.0,0.0,1.0
272,analcatdata_apnea1,0,100,0.1,0,0.0,0.0,1.0
273,analcatdata_apnea1,0,100,0.2,0,0.0,0.0,1.0
274,analcatdata_apnea1,0,100,0.5,0,0.0,0.0,1.0
275,analcatdata_apnea1,0,100,1,0,0.0,0.0,1.0
276,analcatdata_apnea2,0,100,auto,0,0.0,0.0,1.0
277,analcatdata_apnea2,0.05,100,auto,0,0.10256251366916962,0.10824742268041242,0.6234760718425164
278,analcatdata_apnea2,0.1,100,auto,0,0.15688779688779683,0.05882352941176468,0.8320837338855068
279,analcatdata_apnea2,0.15,100,auto,0,0.1919886781630693,0.07254371357202354,0.7216563517410778
280,analcatdata_apnea2,0.2,100,auto,0,0.18568052870146548,0.0055373760354393885,0.7283200043451423
281,analcatdata_apnea2,0.25,100,auto,0,0.21708216472561043,0.06598947348301479,0.6970714680182942
282,analcatdata_apnea2,LOF,100,auto,0,0.0,0.0,1.0
283,analcatdata_apnea2,IF,100,auto,0,0.09051490514905146,0.3793103448275865,0.5821732421513388
284,analcatdata_apnea2,0,1,auto,0,0.0,0.0,1.0
285,analcatdata_apnea2,0,2,auto,0,0.0,0.0,1.0
286,analcatdata_apnea2,0,4,auto,0,0.0,0.0,1.0
287,analcatdata_apnea2,0,8,auto,0,0.0,0.0,1.0
288,analcatdata_apnea2,0,16,auto,0,0.0,0.0,1.0
289,analcatdata_apnea2,0,32,auto,0,0.0,0.0,1.0
290,analcatdata_apnea2,0,64,auto,0,0.0,0.0,1.0
291,analcatdata_apnea2,0,128,auto,0,0.0,0.0,1.0
292,analcatdata_apnea2,0,256,auto,0,0.0,0.0,1.0
293,analcatdata_apnea2,0,512,auto,0,0.0,0.0,1.0
294,analcatdata_apnea2,0,100,0.05,0,0.0,0.0,1.0
295,analcatdata_apnea2,0,100,0.1,0,0.0,0.0,1.0
296,analcatdata_apnea2,0,100,0.2,0,0.0,0.0,1.0
297,analcatdata_apnea2,0,100,0.5,0,0.0,0.0,1.0
298,analcatdata_apnea2,0,100,1,0,0.0,0.0,1.0
299,analcatdata_apnea3,0,100,auto,0,0.0,0.0,1.0
300,analcatdata_apnea3,0.05,100,auto,0,0.08858509911141489,0.142857142857143,0.5918438341858845
301,analcatdata_apnea3,0.1,100,auto,0,0.14630303030303024,0.12280701754386003,0.8673164775497512
302,analcatdata_apnea3,0.15,100,auto,0,0.19569983798966,0.0332571718710334,0.7415386712756359
